track_id,track_name,track_duration,track_popularity,track_explicit,track_preview_url,track_uri,track_index,album_id,album_name,album_uri,artist_name,artist_uri,artist_id
7vj4IO5GD2ybX9ZUvRHELB,My Chest Hurts,372089,6.0,0,https://p.scdn.co/mp3-preview/c50d286b6b238ba6c4d78669fac82caf92b62974?cid=ad4e2c9c341f45bfb69d794adf579aef,spotify:track:7vj4IO5GD2ybX9ZUvRHELB,2,1dJnnMOouMk82uHSFO83fk,My Chest Hurts,spotify:album:1dJnnMOouMk82uHSFO83fk,Ghost Stations,spotify:artist:6CV8zYJD1IOqfq1NlNVdsi,6CV8zYJD1IOqfq1NlNVdsi
6dFOwtd9iBMERardJvsIxY,She's Royal,251026,52.0,0,https://p.scdn.co/mp3-preview/f507b72d8bd20e0d368e7ec50f5afda1f183c757?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:6dFOwtd9iBMERardJvsIxY,1,4xliwWMj72GCy9Edq1v985,Parables,spotify:album:4xliwWMj72GCy9Edq1v985,Tarrus Riley,spotify:artist:4frHO7KPcfMjhnVdIMJ98c,4frHO7KPcfMjhnVdIMJ98c
7pyw1Nm8Jh6YDkkaQB3kV3,The Hurt,240560,0.0,0,,spotify:track:7pyw1Nm8Jh6YDkkaQB3kV3,2,0KNzE0C1RLfXIXhwcoSGVi,Jet Star Reggae Max Presents… Vivian Jones,spotify:album:0KNzE0C1RLfXIXhwcoSGVi,Vivian Jones,spotify:artist:1vxQLTnflwsfzaQtSOprp0,1vxQLTnflwsfzaQtSOprp0
0bcGY7mfG10QfeaDbz97hC,"Nocturne, Op. posth. in C-Sharp Minor: Lento",239973,60.0,0,https://p.scdn.co/mp3-preview/a3acd141b6add202307ae6b6f0dd843590435fe1?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0bcGY7mfG10QfeaDbz97hC,1,2EJIGjaVFq9PKinjyA9yOn,Chopin: Complete Nocturnes,spotify:album:2EJIGjaVFq9PKinjyA9yOn,Brigitte Engerer,spotify:artist:0WBFyyZxQ5CeA31cKSmhU2,0WBFyyZxQ5CeA31cKSmhU2
0bcGY7mfG10QfeaDbz97hC,"Nocturne, Op. posth. in C-Sharp Minor: Lento",239973,60.0,0,https://p.scdn.co/mp3-preview/a3acd141b6add202307ae6b6f0dd843590435fe1?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0bcGY7mfG10QfeaDbz97hC,1,2EJIGjaVFq9PKinjyA9yOn,Chopin: Complete Nocturnes,spotify:album:2EJIGjaVFq9PKinjyA9yOn,Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,7y97mc3bZRFXzT2szRM4L4
6MQAB3vorg90FA3tQpbYXK,"Für Elise, WoO 59",188466,62.0,0,https://p.scdn.co/mp3-preview/a3d8ef7c2d4d3fad5376870c4da878633162115d?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:6MQAB3vorg90FA3tQpbYXK,2,1x27TAmWCNzMTJeqlA5bYz,Beethoven Greatest Hits,spotify:album:1x27TAmWCNzMTJeqlA5bYz,Ludwig van Beethoven,spotify:artist:2wOqMjp9TyABvtHdOSOTUS,2wOqMjp9TyABvtHdOSOTUS
6MQAB3vorg90FA3tQpbYXK,"Für Elise, WoO 59",188466,62.0,0,https://p.scdn.co/mp3-preview/a3d8ef7c2d4d3fad5376870c4da878633162115d?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:6MQAB3vorg90FA3tQpbYXK,2,1x27TAmWCNzMTJeqlA5bYz,Beethoven Greatest Hits,spotify:album:1x27TAmWCNzMTJeqlA5bYz,Nelly Kokinos,spotify:artist:6hpRhyx59f3xKAAQayjuCR,6hpRhyx59f3xKAAQayjuCR
1ipAB0J5JVEY0nrMH8TBGJ,Ellipse,241226,34.0,0,https://p.scdn.co/mp3-preview/7c18125ee372ecfa67fdb9d8d0210bc50f80e821?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:1ipAB0J5JVEY0nrMH8TBGJ,1,2lAFeBriKxg2zCxO4PYZWY,In Silence We Yearn,spotify:album:2lAFeBriKxg2zCxO4PYZWY,Oh Hiroshima,spotify:artist:19iNYCVHcMwJMS3NZqhZ59,19iNYCVHcMwJMS3NZqhZ59
4OaNqbdAbMCkjjD9QKhQLg,The New Colossus,322728,27.0,0,https://p.scdn.co/mp3-preview/981c1868be3f0b4bd9a19a8fa8973b126071828e?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:4OaNqbdAbMCkjjD9QKhQLg,2,1ouaGVdfzIM4IDyH4YqRiZ,Wolfenstein II: The New Colossus (Original Game Soundtrack),spotify:album:1ouaGVdfzIM4IDyH4YqRiZ,Mick Gordon,spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y,13ab1LgQZ3tQOhkDRRYB8Y
3ERMjh3EfOWWoLJjcxtpvt,Loi,335830,40.0,0,https://p.scdn.co/mp3-preview/cfd67bf820ebcbe28297b2204bb088415ff4ebea?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:3ERMjh3EfOWWoLJjcxtpvt,1,3GTtST9Tk2rcDNxV5YFIBy,Loi,spotify:album:3GTtST9Tk2rcDNxV5YFIBy,Koffi Olomide,spotify:artist:7e14Bh8oZXNRmZxjhhTARb,7e14Bh8oZXNRmZxjhhTARb
